company,cate1,cate2,features,id,area,dividend,start,price,dividend_yield,exceed_start
长江电力,电力与能源,水力发电,三峡等大型水电站运营,600900,上交所,1.08,4,30.47,3.54,否
国投电力,电力与能源,综合发电,水电/火电/新能源,600886,上交所,0.54,4,14.86,3.63,否
川投能源,电力与能源,水力发电,雅砻江等水电开发,600674,上交所,0.5,3,16.05,3.12,是
华能水电,电力与能源,水力发电,澜沧江流域水电,600025,上交所,0.24,3,9.87,2.43,否
国电电力,电力与能源,火力发电,煤电为主的新能源综合,600795,上交所,0.16,4,4.72,3.39,否
中国核电,电力与能源,核能发电,核电站建设运营,601985,上交所,0.2,2,9.42,2.12,是
中国广核,电力与能源,核能发电,核电站运营、新能源,003816,深交所,0.096,2,3.71,2.59,是
内蒙华电,电力与能源,火力发电,内蒙古地区煤电,600863,上交所,0.26,6,4.14,6.28,是
浙能电力,电力与能源,火力发电,浙江省主力发电企业,600023,上交所,0.25,4,5.31,4.71,是
三峡能源,电力与能源,新能源发电,风电、光伏发电,600905,上交所,0.087,2,4.24,2.05,是
中国宏桥,制造业,​有色金属​,电解铝生产龙头,港股01378,-,1.6,8,16.04,9.98,是
神火股份,制造业,​有色金属​,电解铝+煤炭,000933,深交所,1.0,6,16.16,6.19,是
农业银行,金融,商业银行,四大国有银行之一,601288,上交所,0.24,5,5.77,4.16,否
工商银行,金融,商业银行,全球最大银行,601398,上交所,0.32,5,7.36,4.35,否
招商银行,金融,商业银行,领先零售银行,600036,上交所,2.1,5,46.01,4.56,否
贵州茅台,食品饮料,白酒,高端酱香型白酒龙头,600519,上交所,60.0,4,1431.94,4.19,是
五粮液,食品饮料,白酒,浓香型白酒代表,000858,深交所,6.0,5,119.53,5.02,是
泸州老窖,食品饮料,白酒,国窖1573高端品牌,000568,深交所,5.8,5,114.06,5.09,是
洋河股份,食品饮料,白酒,绵柔浓香型代表（梦之蓝）,002304,深交所,4.2,6,65.97,6.37,是
伊利股份,食品饮料,乳制品,国内乳业第一,600887,上交所,1.35,5,27.91,4.84,否
中国移动,通讯与信息技术,​通讯服务​,电信运营商,600941,上交所,5.1,5,114.11,4.47,否
美的集团,制造业,​家用电器​,全品类白电+小家电,000333,深交所,3.7,5,72.3,5.12,是
格力电器,制造业,​家用电器​,空调为主的专业化龙头,000651,深交所,3.0,6,44.62,6.72,是
海尔智家,制造业,​家用电器​,智慧家庭解决方案,600690,上交所,1.15,5,24.77,4.64,否
分众传媒,制造业,​广告传媒​,电梯媒体广告龙头,002027,深交所,0.35,5,7.01,4.99,否
洽洽食品,食品饮料,休闲食品,瓜子类零食龙头,002557,深交所,1.0,5,21.67,4.61,否
云南白药,医药生物,中药/日化,白药系列、牙膏,000538,深交所,2.5,4,55.17,4.53,是
羚锐制药,医药生物,中药,通络祛痛膏等贴剂,600285,上交所,1.12,5,22.9,4.89,否
东阿阿胶,医药生物,保健品,阿胶系列滋补品,000423,深交所,2.7,5,52.19,5.17,是
江中药业,医药生物,保健品,健胃消食片等健康食品,600750,上交所,1.3,5,22.0,5.91,是
老凤祥,食品饮料,食品关联,虽主营珠宝，但有食品级贵金属业务,600612,上交所,1.8,4,49.62,3.63,否
招商公路,金融,基建投资,高速公路投资运营（属招商系金融板块）,001965,深交所,0.48,4,12.05,3.98,否
中国神华,电力与能源,煤电一体化,煤炭+电力联产（虽以煤为主，但有电力业务）,601088,上交所,1.9,5,39.51,4.81,否
陕西煤业,电力与能源,煤电,煤炭开采与煤电,601225,上交所,1.15,6,19.98,5.76,否
中煤能源,电力与能源,煤电,煤炭生产与电力,601898,上交所,0.46,5,10.91,4.22,否
中国海油,电力与能源,油气发电,海上油气田开发（含天然气发电）,600938,上交所,1.25,5,26.75,4.67,否
中国石化,电力与能源,油气发电,炼油化工（含自备电厂）,600028,上交所,0.35,6,5.79,6.04,是
中国平安,金融,综合金融,保险+银行+投资三支柱,601318,上交所,2.67,5,54.67,4.88,否
大秦铁路,交通运输,​交通运输​,煤炭运输专线铁路,601006,上交所,0.32,5,6.69,4.78,否
中远海控,交通运输,​交通运输​,集装箱航运,601919,上交所,0.9,6,16.31,5.52,否
郑煤机,制造业,​交通运输​,煤炭机械装备（服务于采运环节）,601717,上交所,1.2,7,16.88,7.11,是
中国电信,通讯与信息技术,​通讯服务​,综合信息服务,601728,上交所,0.28,4,7.9,3.54,否
中国联通,通讯与信息技术,​通讯服务​,电信运营与创新业务,600050,上交所,0.19,4,5.24,3.63,否
中国银行,金融,商业银行,外汇业务领先,601988,上交所,0.24,5,5.6,4.29,否
建设银行,金融,商业银行,基建贷款优势,601939,上交所,0.4,5,9.29,4.31,否
江苏银行,金融,城市商业银行,江苏省区域性银行,600919,上交所,0.55,5,11.85,4.64,否
邮储银行,金融,商业银行,县域网点覆盖最广,601658,上交所,0.27,5,5.57,4.85,否
达仁堂,医药生物,中药,速效救心丸等,600329,上交所,1.3,4,32.78,3.97,否
华润三九,医药生物,中药/化药,999感冒灵系列,000999,深交所,1.3,3,31.1,4.18,是
同仁堂,医药生物,中药,安宫牛黄丸等传统名方,600085,上交所,1.1,3,35.99,3.06,是
济川药业,医药生物,中药,蒲地蓝消炎口服液,600566,上交所,1.5,5,27.4,5.47,是
雅戈尔,金融,产融结合,服装主业+金融投资（证券/基金）,600177,上交所,0.5,6,7.3,6.85,是
海澜之家,纺织服装,​纺织服装​,男装连锁品牌,600398,上交所,0.5,6,6.98,7.16,是
